video_id,reference_time_requested_sec,reference_time_used_sec,reference_frame_idx,roi_rect,roi_source,full_frame,full_frame_with_roi,crop,note
2,1.000000,1.000000,30,"650,330,260,220",auto_per_video:orb:landscape:2,full_frames/2.jpg,full_frames_with_roi/2_roi.jpg,crops/2_crop.jpg,
4,1.000000,1.000000,30,"571,418,211,180",auto_per_video:orb:landscape:2,full_frames/4.jpg,full_frames_with_roi/4_roi.jpg,crops/4_crop.jpg,
5,3.800000,3.800000,114,"69,260,360,360",auto_per_video:orb:portrait:5+shift,full_frames/5.jpg,full_frames_with_roi/5_roi.jpg,crops/5_crop.jpg,
6,3.000000,3.000000,90,"80,258,360,360",auto_per_video:orb:portrait:5+shift,full_frames/6.jpg,full_frames_with_roi/6_roi.jpg,crops/6_crop.jpg,
7,3.700000,3.700000,111,"0,15,569,569",auto_per_video:orb:portrait:5+shift,full_frames/7.jpg,full_frames_with_roi/7_roi.jpg,crops/7_crop.jpg,
11,2.300000,2.310343,67,"236,500,340,340",manual_override,full_frames/11.jpg,full_frames_with_roi/11_roi.jpg,crops/11_crop.jpg,
12,5.500000,5.500000,165,"157,582,414,414",auto_per_video:orb:portrait:5+shift,full_frames/12.jpg,full_frames_with_roi/12_roi.jpg,crops/12_crop.jpg,
13,1.200000,1.206896,35,"160,260,360,360",auto_per_video:fallback:rect_portrait,full_frames/13.jpg,full_frames_with_roi/13_roi.jpg,crops/13_crop.jpg,
14,3.600000,3.600000,108,"125,448,457,457",auto_per_video:orb:portrait:12,full_frames/14.jpg,full_frames_with_roi/14_roi.jpg,crops/14_crop.jpg,
15,3.200000,3.200000,96,"229,415,292,292",auto_per_video:orb:portrait:6,full_frames/15.jpg,full_frames_with_roi/15_roi.jpg,crops/15_crop.jpg,
16,1.300000,1.300000,39,"210,415,292,292",auto_per_video:orb:portrait:15+shift,full_frames/16.jpg,full_frames_with_roi/16_roi.jpg,crops/16_crop.jpg,
17,1.100000,1.100000,33,"169,473,385,386",auto_per_video:orb:portrait:13,full_frames/17.jpg,full_frames_with_roi/17_roi.jpg,crops/17_crop.jpg,
18,4.500000,4.500000,135,"170,471,386,386",auto_per_video:orb:portrait:17,full_frames/18.jpg,full_frames_with_roi/18_roi.jpg,crops/18_crop.jpg,
19,4.500000,4.482759,130,"169,472,386,386",auto_per_video:orb:portrait:18,full_frames/19.jpg,full_frames_with_roi/19_roi.jpg,crops/19_crop.jpg,
20,5.700000,5.700000,171,"170,472,385,386",auto_per_video:orb:portrait:17,full_frames/20.jpg,full_frames_with_roi/20_roi.jpg,crops/20_crop.jpg,
21,3.400000,3.413790,99,"171,472,385,386",auto_per_video:orb:portrait:20,full_frames/21.jpg,full_frames_with_roi/21_roi.jpg,crops/21_crop.jpg,
22,6.300000,6.300000,189,"198,415,292,292",auto_per_video:orb:portrait:16+shift,full_frames/22.jpg,full_frames_with_roi/22_roi.jpg,crops/22_crop.jpg,
23,1.500000,1.500000,45,"210,415,292,292",auto_per_video:orb:portrait:16,full_frames/23.jpg,full_frames_with_roi/23_roi.jpg,crops/23_crop.jpg,
25,0.800000,0.800000,24,"170,470,386,385",auto_per_video:orb:portrait:19,full_frames/25.jpg,full_frames_with_roi/25_roi.jpg,crops/25_crop.jpg,
26,1.800000,1.800000,54,"208,416,291,292",auto_per_video:orb:portrait:16+shift,full_frames/26.jpg,full_frames_with_roi/26_roi.jpg,crops/26_crop.jpg,
27,2.000000,2.000000,60,"196,416,291,292",auto_per_video:orb:portrait:26+shift,full_frames/27.jpg,full_frames_with_roi/27_roi.jpg,crops/27_crop.jpg,
28,4.000000,3.999997,116,"172,471,385,386",auto_per_video:orb:portrait:19,full_frames/28.jpg,full_frames_with_roi/28_roi.jpg,crops/28_crop.jpg,
29,3.300000,3.300000,99,"128,417,291,291",auto_per_video:orb:portrait:22+shift,full_frames/29.jpg,full_frames_with_roi/29_roi.jpg,crops/29_crop.jpg,
30,3.200000,3.206895,93,"2,202,407,408",auto_per_video:orb:portrait:21,full_frames/30.jpg,full_frames_with_roi/30_roi.jpg,crops/30_crop.jpg,
31,1.800000,1.800000,45,"146,686,320,320",auto_per_video:orb:portrait:30,full_frames/31.jpg,full_frames_with_roi/31_roi.jpg,crops/31_crop.jpg,
